DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
10/01/2023 12:00:24 AM,08/01/2023 12:00:00 AM,Scheduled,Departure,International,5246
09/10/2023 06:01:58 AM,08/01/2023 12:00:00 AM,Charter,Arrival,Domestic,24
10/01/2023 12:00:24 AM,08/01/2023 12:00:00 AM,Scheduled,Arrival,International,5131
10/01/2023 12:00:24 AM,08/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,18169
10/01/2023 12:00:24 AM,08/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,17909
09/10/2023 06:01:58 AM,08/01/2023 12:00:00 AM,Charter,Departure,Domestic,28
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Scheduled,Departure,International,5337
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Charter,Departure,International,1
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Charter,Departure,Domestic,29
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Charter,Arrival,International,1
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Scheduled,Arrival,International,5227
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Charter,Arrival,Domestic,32
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,17752
09/01/2023 12:00:48 AM,07/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,18158
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Charter,Arrival,Domestic,44
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,17398
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Charter,Arrival,International,12
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Charter,Departure,Domestic,42
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Scheduled,Arrival,International,4691
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,17066
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Scheduled,Departure,International,4888
08/01/2023 12:00:18 AM,06/01/2023 12:00:00 AM,Charter,Departure,International,10
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Scheduled,Departure,International,4656
06/10/2023 06:01:11 AM,05/01/2023 12:00:00 AM,Charter,Arrival,International,9
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,16987
06/10/2023 06:01:11 AM,05/01/2023 12:00:00 AM,Charter,Departure,International,9
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,17062
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Scheduled,Arrival,International,4597
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Charter,Departure,Domestic,51
07/01/2023 12:00:21 AM,05/01/2023 12:00:00 AM,Charter,Arrival,Domestic,48
08/01/2023 12:00:18 AM,04/01/2023 12:00:00 AM,Scheduled,Arrival,International,4368
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Charter,Arrival,Domestic,47
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Charter,Arrival,International,19
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Charter,Departure,Domestic,48
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,15739
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,15739
06/01/2023 12:01:10 AM,04/01/2023 12:00:00 AM,Charter,Departure,International,13
08/01/2023 12:00:18 AM,04/01/2023 12:00:00 AM,Scheduled,Departure,International,4368
05/01/2023 12:00:21 AM,03/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,16173
06/01/2023 12:01:10 AM,03/01/2023 12:00:00 AM,Scheduled,Departure,International,4960
05/01/2023 12:00:21 AM,03/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,16134
05/01/2023 12:00:21 AM,03/01/2023 12:00:00 AM,Charter,Arrival,Domestic,65
04/10/2023 06:01:12 AM,03/01/2023 12:00:00 AM,Charter,Departure,International,3
05/01/2023 12:00:21 AM,03/01/2023 12:00:00 AM,Charter,Departure,Domestic,63
04/10/2023 06:01:12 AM,03/01/2023 12:00:00 AM,Charter,Arrival,International,1
06/01/2023 12:01:10 AM,03/01/2023 12:00:00 AM,Scheduled,Arrival,International,4896
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,14076
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Scheduled,Arrival,International,3637
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Charter,Departure,Domestic,42
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Charter,Arrival,Domestic,40
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,14031
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Charter,Arrival,International,4
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Charter,Departure,International,4
04/01/2023 12:01:02 AM,02/01/2023 12:00:00 AM,Scheduled,Departure,International,3631
03/10/2023 06:01:19 AM,01/01/2023 12:00:00 AM,Scheduled,Arrival,Domestic,15569
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Charter,Arrival,International,4
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Charter,Departure,Domestic,35
03/10/2023 06:01:19 AM,01/01/2023 12:00:00 AM,Scheduled,Departure,Domestic,15567
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Scheduled,Arrival,International,4179
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Scheduled,Departure,International,4133
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Charter,Departure,International,4
03/01/2023 12:01:36 AM,01/01/2023 12:00:00 AM,Charter,Arrival,Domestic,34
01/05/2023 08:14:50 AM,12/01/2022 12:00:00 AM,Charter,Arrival,International,1
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Scheduled,Departure,International,4139
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Charter,Arrival,Domestic,33
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Charter,Departure,International,2
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Scheduled,Arrival,International,4127
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,15400
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15351
02/01/2023 12:00:35 AM,12/01/2022 12:00:00 AM,Charter,Departure,Domestic,31
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15542
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Charter,Arrival,Domestic,37
12/10/2022 06:01:13 AM,11/01/2022 12:00:00 AM,Charter,Departure,International,1
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Scheduled,Arrival,International,3797
12/10/2022 06:01:13 AM,11/01/2022 12:00:00 AM,Charter,Arrival,International,1
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Charter,Departure,Domestic,39
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,15567
01/01/2023 12:00:28 AM,11/01/2022 12:00:00 AM,Scheduled,Departure,International,3797
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Scheduled,Departure,International,3792
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Charter,Arrival,Domestic,26
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Scheduled,Arrival,International,3787
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Charter,Departure,Domestic,27
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16078
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16087
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Charter,Arrival,International,4
12/01/2022 12:00:35 AM,10/01/2022 12:00:00 AM,Charter,Departure,International,3
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,15795
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Scheduled,Departure,International,3777
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Charter,Arrival,Domestic,26
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15833
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Charter,Departure,Domestic,27
10/10/2022 06:01:16 AM,09/01/2022 12:00:00 AM,Charter,Arrival,International,2
11/01/2022 12:00:21 AM,09/01/2022 12:00:00 AM,Scheduled,Arrival,International,3784
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Departure,International,4383
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Charter,Departure,Domestic,44
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Arrival,International,4389
09/10/2022 06:01:10 AM,08/01/2022 12:00:00 AM,Charter,Arrival,International,1
09/10/2022 06:01:10 AM,08/01/2022 12:00:00 AM,Charter,Departure,International,1
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16882
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16876
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Charter,Arrival,Domestic,39
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Arrival,Domestic,39
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Departure,International,1
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Arrival,International,4523
09/01/2022 12:00:54 AM,07/01/2022 12:00:00 AM,Scheduled,Departure,International,4518
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Departure,Domestic,36
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Arrival,International,2
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,17141
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,17136
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Scheduled,Arrival,International,4131
11/10/2022 06:01:11 AM,06/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16435
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Charter,Departure,Domestic,23
09/01/2022 12:00:54 AM,06/01/2022 12:00:00 AM,Scheduled,Departure,International,4144
07/10/2022 06:01:12 AM,06/01/2022 12:00:00 AM,Charter,Arrival,International,2
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16920
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Charter,Arrival,Domestic,23
07/10/2022 06:01:12 AM,06/01/2022 12:00:00 AM,Charter,Departure,International,1
